id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
1343,0,1,1,AKROPOLI,Entire home/apt,4,2,2,101,2,180,2,180,2,180,1,4,32,55,319,137,1,2.67,1,0.498366219,1.256338543
1344,0,1,0,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,50,2,1125,2,1125,2,1125,1,30,60,90,365,35,1,0.62,1,2.031820074,1.461058411
1345,0,1,0,KOYKAKI-MAKRYGIANNI,Private room,1,1,1,30,1,1125,1,1125,1,1125,0,0,0,0,0,0,0,1.2,0,1.380095164,2.105765733
1346,1,1,1,STADIO,Entire home/apt,3,1,1,180,2,90,2,1125,2,1125,1,29,59,89,364,60,1,1.36,1,1.530866521,1.159757426
1347,1,1,1,KOLONAKI,Entire home/apt,2,1,1,75,3,15,3,1125,3,1125,1,1,3,7,17,122,1,2.16,1,1.624691255,0.769872974
1348,0,1,1,ELLINOROSON,Entire home/apt,5,1.5,1,34,10,150,10,1125,10,1125,1,11,23,43,168,70,0,1.28,1,5.217534608,4.361885128
1349,0,1,1,NIRBANA,Entire home/apt,4,1,2,31,1,1125,3,1125,3,1125,1,26,56,86,361,109,1,1.96,1,3.813832035,3.591041054
1350,0,1,0,PATISIA,Entire home/apt,5,1,4,50,3,1125,3,1125,3,1125,1,23,53,83,358,12,0,0.22,0,4.470046306,3.994551837
1351,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,6,1,3,60,3,1125,3,1125,3,1125,1,13,43,67,337,9,0,0.24,0,0.769718971,0.751715976
1352,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,3,74,1,1000,1,1125,1,1125,1,8,35,54,317,76,1,1.35,1,0.596064423,0.315044244
1353,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1.5,3,35,2,1125,2,1125,2,1125,1,5,27,48,323,204,1,4.18,1,1.205395441,1.887053746
1354,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,1,60,2,1125,2,1125,2,1125,1,7,37,67,330,195,1,3.47,1,0.686826835,0.815583495
1355,1,1,1,NEOS KOSMOS,Entire home/apt,6,1,4,55,1,1125,1,1125,1,1125,1,22,46,65,245,69,1,1.3,1,0.857100095,1.236053523
1356,1,1,1,GOYBA,Entire home/apt,4,1,2,40,3,1125,3,1125,3,1125,1,0,0,0,0,5,0,0.09,1,1.902927558,1.594777376
1357,1,1,1,KOLONAKI,Entire home/apt,5,1.5,2,51,2,1125,2,1125,2,1125,1,9,19,43,52,63,1,1.14,1,1.686660773,0.827135124
1358,0,1,1,ANO KYPSELI,Entire home/apt,10,2.5,5,130,2,1125,2,1125,2,1125,1,0,0,0,1,5,1,0.13,1,3.698893994,3.137538869
1359,0,1,1,KYPSELI,Entire home/apt,7,2,5,90,2,1125,2,1125,2,1125,1,0,0,0,101,1,1,0.02,1,2.825709958,2.329936849
1360,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,50,3,30,3,1125,3,1125,1,3,3,3,180,7,1,0.16,1,0.585014773,0.533055914
1361,1,1,1,ANO KYPSELI,Entire home/apt,5,1,2,40,1,1125,1,1125,1,1125,1,13,43,73,163,173,0,3.14,1,4.069477283,3.598581488
